game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Experience intense martial arts combat in this evolved fighting game featuring a diverse roster, innovative mechanics, and immersive single-player and competitive online modes.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"High-stakes tactical bounty hunting in a dark, atmospheric supernatural world. Survive brutal PvEvP encounters where every sound could be your last.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,"An immersive open-world action RPG featuring fluid combat, high-stakes exploration, and a rich, post-apocalyptic narrative set in a vast, vibrant landscape.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Shooter,Experience authentic Cold War combat in this tactical sandbox shooter featuring realistic infantry warfare and a versatile platform for community-created mods.,Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horror,"Scavenge abandoned, industrialized moons for scrap while evading terrifying creatures in this suspenseful, co-op survival experience where communication is key to your crew's survival.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"An immersive tactical extraction shooter featuring high-stakes combat, realistic weapon customization, and intense gunfights in a persistent battlefield.",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,RPG,"An action-packed urban fantasy RPG featuring stylish combat, vibrant aesthetics, and a deep narrative set in the post-apocalyptic metropolis of New Eridu.",Singleplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Reborn in a prehistoric world, master the elements, tame massive dinosaurs, and build your legacy in this immersive, graphically stunning survival adventure.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,Build an empire that stands the test of time in this legendary 4X strategy game featuring innovative mechanics and deep historical simulation.,Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"A sequel to the legendary third-person action MOBA, powered by Unreal Engine 5, featuring divine combat and strategic team-based gameplay.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,RPG,"Experience a dynamic massively multiplayer world featuring large-scale siege warfare, strategic combat, and shapeshifting abilities in a persistent fantasy landscape.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,RPG,"Survive a decaying kingdom, build magnificent bases, and master powerful combat in this sprawling open-world action RPG set in a world consumed by a deadly fog.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Uncover the dark secrets of a toy factory while surviving vengeful animatronics in this tense, atmospheric puzzle-horror adventure.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Platformer,"Embark on an emotional, genre-bending adventure designed exclusively for two, where cooperation is the only way to overcome whimsical challenges and mend a broken relationship.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Experience intense, large-scale battlefield combat in this epic tactical action game focusing on a new protagonist amidst the chaos of the Three Kingdoms era.",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience authentic hockey action with refined gameplay mechanics, improved skating systems, and immersive atmospheres in the latest iteration of the premier NHL simulation franchise.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,"A hypnotically satisfying poker-themed roguelike where you create powerful illegal hands, discover game-breaking jokers, and trigger adrenaline-pumping combos to beat the ante.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Horror,"Trapped in a cursed mobile game, you must survive the increasingly distorted reality of your virtual companion in this psychological horror experience.",Singleplayer
